Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Oscillators_RSI,Oscillators_RSI[1],Oscillators_STOCH.K,Oscillators_STOCH.D,Oscillators_CCI,Oscillators_MACD.macd,Oscillators_MACD.signal,Moving Averages_EMA5,Moving Averages_EMA10,Moving Averages_EMA20,Moving Averages_EMA50,Moving Averages_EMA100,Moving Averages_EMA200,Moving Averages_SMA5,Moving Averages_SMA10,Moving Averages_SMA20,Moving Averages_SMA50,Moving Averages_SMA100,Moving Averages_SMA200,Info_marketCap,Info_trailingPE,Info_dividendYield,Info_fiftyDayAverage,Info_twoHundredDayAverage
2024-04-24 09:30:00-04:00,428.18,429.73,424.2,426.3,28577301,0.0,0.0,0.0,39.5625461959109,31.42460409012179,63.94383232296414,48.789854307844706,N/A,-4.679,-4.931,423.802,424.115,427.585,434.073,437.944,440.4,422.77418212890626,421.87022705078124,428.77910766601565,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-24 13:30:00-04:00,426.31,427.55,425.17,426.43,13605930,0.0,0.0,0.0,42.250185677713276,39.5625461959109,64.57217870997242,56.70264210529003,N/A,-4.198,-4.785,424.678,424.536,427.475,433.773,437.716,440.261,424.3280029296875,421.9332275390625,428.18660736083984,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-25 09:30:00-04:00,419.24,423.26,418.14,422.68,34926476,0.0,0.0,0.0,36.22383672917824,42.250185677713276,46.44748292697317,58.32116465330324,N/A,-4.073,-4.642,424.012,424.198,427.018,433.338,437.418,440.086,425.0940002441406,421.76108703613284,427.1341064453125,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-25 13:30:00-04:00,422.66,425.32,422.55,424.38,15482804,0.0,0.0,0.0,40.03565669868277,36.22383672917824,56.46555139104732,55.82840434266431,N/A,-3.793,-4.472,424.135,424.231,426.767,432.987,437.16,439.93,424.9859985351562,421.8630889892578,426.0801071166992,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-26 09:30:00-04:00,427.63,432.47,426.92,432.28,27325463,0.0,0.0,0.0,56.63577452400663,40.03565669868277,99.02060566400137,67.31121332734062,N/A,-2.899,-4.158,426.85,425.695,427.292,432.959,437.063,439.854,426.41399536132815,423.42908935546876,425.82811279296874,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-26 13:30:00-04:00,432.29,432.55,430.97,431.05,12127967,0.0,0.0,0.0,56.998132009034045,56.63577452400663,92.29978694071939,82.59531466525603,N/A,-2.265,-3.779,428.25,426.668,427.65,432.884,436.944,439.766,427.36399536132814,425.0690887451172,425.4651123046875,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-29 09:30:00-04:00,433.1,433.76,430.9,433.18,16920519,0.0,0.0,0.0,61.47786081661805,56.998132009034045,97.19663111937106,96.17234124136394,N/A,-1.572,-3.338,429.893,427.852,428.176,432.896,436.87,439.701,428.7139953613281,426.5209991455078,425.48461151123047,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-29 13:30:00-04:00,433.18,433.345,429.98,432.73,11424412,0.0,0.0,0.0,62.44359515771471,61.47786081661805,95.02175612490228,94.83939139499758,N/A,-1.047,-2.88,430.839,428.739,428.61,432.889,436.788,439.631,430.7239990234375,427.90899963378905,425.5716125488281,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-30 09:30:00-04:00,431.15,432.56,427.3,427.815,18775017,0.0,0.0,0.0,65.62456875035139,62.44359515771471,71.26628021888874,87.82822248772068,30.154291554294215,-1.016,-2.507,429.831,428.571,428.534,432.69,436.61,439.514,431.41099853515624,428.19849853515626,425.38036193847654,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-04-30 13:30:00-04:00,427.8,428.97,424.51,424.56,20308180,0.0,0.0,0.0,63.35219539794132,65.62456875035139,53.582195725077064,73.29007735628936,6.901682172159971,-1.24,-2.253,428.074,427.842,428.156,432.371,436.371,439.365,429.86699829101565,428.1404968261719,425.0538619995117,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-01 09:30:00-04:00,423.14,423.52,420.66,421.848,19202331,0.0,0.0,0.0,54.449739318358844,63.35219539794132,23.738072351300026,49.528849431755276,-25.025575657681255,-1.617,-2.126,425.999,426.752,427.555,431.959,436.084,439.191,428.0265808105469,427.6952880859375,424.7827575683594,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
2024-05-01 13:30:00-04:00,421.88,430.14,421.31,421.45,29384057,0.0,0.0,0.0,53.6091156253945,54.449739318358844,21.190772044170398,32.83701337351583,-4.102706514639344,-1.926,-2.086,424.482,425.788,426.974,431.547,435.794,439.014,425.6805847167969,427.1972900390625,424.5652587890625,N/A,N/A,N/A,187174567936,30.516,0.56,506.071,494.454
